S1- the Gene Discovery informatics Toolkit	 	 
Column Name	Description	Source
hgnc_id	Gene IDs	HUGO Gene Nomenclature Committee
gene	Gene symbols	HUGO Gene Nomenclature Committee
gene_name	Full Gene names	HUGO Gene Nomenclature Committee
gene_family	Gene families	HUGO Gene Nomenclature Committee
omim	"""Y"" is a clinically relevant OMIM gene"	Online Mendelian Inheritance in Man
mim_number	MIM number if the gene is a clinically relevant OMIM gene	Online Mendelian Inheritance in Man
phenotype	Phenotypes associated with the gene in OMIM	Online Mendelian Inheritance in Man
Inheritance_pattern	Inheritance patterns associated with the gene in OMIM	Online Mendelian Inheritance in Man
human_lethal_B	"""Y"" if the gene appears in our manually curated list of human lethal genes"	Online Mendelian Inheritance in Man
human_lethal_A	"""Y"" if the gene appears in our more stringently curated list of human lethal genes (a subset of lethal list B)"	Online Mendelian Inheritance in Man
lethal_phen	Lethal phenotypes associated with the gene	Online Mendelian Inheritance in Man
lethal_inheritance	Inheritance patterns of lethal phenotypes associated with the gene	Online Mendelian Inheritance in Man
gnomAD	"""Y"" if the gene has constraint scores in gnomAD (release 2.1)"	genome aggregation database
mis_z	missense constraint scores from gnomAD v2.1	genome aggregation database
syn_z	synonymous constraint scores from gnomAD v2.1	genome aggregation database
pLI	pLI scores from gnomAD v2.1	genome aggregation database
constrained	"""Y"" if the gene has either missense or LoF constraint in gnomAD v2.1"	genome aggregation database
highest_ccr	Percentile of the most constrained coding region present in the gene	"Havrilla, J.M., et al., A map of constrained coding regions in the human genome. Nature Genetics, 2019. 51(1): p. 88-95."
ccr99	"""Y"" if the gene contains a constrained coding region in the 99th percentile"	"Havrilla, J.M., et al., A map of constrained coding regions in the human genome. Nature Genetics, 2019. 51(1): p. 88-95."
ccr99_n	number of constrained coding regions in the 99th percentile within the gene	"Havrilla, J.M., et al., A map of constrained coding regions in the human genome. Nature Genetics, 2019. 51(1): p. 88-95."
regional_missense_constraint	"""Y"" if the gene is classed as having regional missense constraint by Samocha et al., 2017"	"Samocha, K.E., et al., Regional missense constraint improves variant deleteriousness prediction. bioRxiv, 2017."
regional_missense_gamma	gamma' missense constraint score associated with gene (see Samocha et al. 2017 for details)	"Samocha, K.E., et al., Regional missense constraint improves variant deleteriousness prediction. bioRxiv, 2017."
nmd_min	"""Y"" if the gene is classed as having NMD constraint by Coban-Akdemir et. Al., 2018"	"Coban-Akdemir, Z., et al., Identifying Genes Whose Mutant Transcripts Cause Dominant Disease Traits by Potential Gain-of-Function Alleles. The American Journal of Human Genetics, 2018. 103(2): p. 171-187."
nmd_min_rank	"rank of the gene if it is class as having NMD constraint by Coban-Akdemir et. Al., 2018"	"Coban-Akdemir, Z., et al., Identifying Genes Whose Mutant Transcripts Cause Dominant Disease Traits by Potential Gain-of-Function Alleles. The American Journal of Human Genetics, 2018. 103(2): p. 171-187."
any_constraint	"""Y"" if the gene is classed as constrained by gnomAD, or any of the three sources for regional constraint (Havrilla, Samocha, Coban-Akdemir)"	
any_reg_constraint	"""Y"" if the gene is classed as having constraint by any of the three sources for regional constraint (Havrilla, Samocha, Coban-Akdemir)"	
MGI_ID	ID of gene in the mouse genome informatics database	Mouse Genome Informatics
lethal_MGI	"""Y"" if the gene is annotated with any lethal MP terms (table 2 s4) in homozygous KO mouse in MGI"	Mouse Genome Informatics
lethal_MP_ID	"IDs of the lethal MP terms annotated to the gene, if applicable"	Mouse Genome Informatics
lethal_MP_phen	"descriptions of the lethal MP terms annotated to the gene, if applicable"	Mouse Genome Informatics
all_MP_ID	IDs of all MP terms annotated to the gene	Mouse Genome Informatics
all_MP_phen	descriptions of all the MP terms annotated to the gene	Mouse Genome Informatics
high_MP_ID	IDs of the high-level broadly descriptive MP terms annotated to the gene	Mouse Genome Informatics
high_MP_phen	descriptions of the high-level broadly descriptive MP terms annotated to the gene	Mouse Genome Informatics
allele_info	Information on the type of allele present in the homozygous mouse KO of this gene in MGI	Mouse Genome Informatics
mouse_symbol	gene symbol orthologous to human gene symbol	Mouse Genome Informatics
lethal_IMPC	"""Y"" if the gene is annotated with any lethal MP terms (table 2 s4) in homozygous KO mouse in IMPC"	International Mouse Phenotyping Consortium
